winner: First
#2-edges\#3-edges |                0 |                1 |                2 |                3 |                4 |                5 |                6 |                7 |                8 |                9 |               10 |               11 |               12 | 
                0 |                  |                  |                  |                  | 0.00, 0.00, 1.00 | 0.00, 0.43, 0.57 | 0.00, 0.57, 0.43 | 0.00, 0.75, 0.25 | 0.01, 0.80, 0.19 | 0.03, 0.75, 0.22 | 0.09, 0.75, 0.17 | 0.12, 0.73, 0.16 | 0.21, 0.65, 0.13 | 
                1 |                  |                  | 0.00, 0.00, 1.00 | 0.00, 0.69, 0.31 | 0.00, 0.84, 0.16 | 0.00, 0.92, 0.08 | 0.00, 0.95, 0.05 | 0.00, 0.97, 0.03 | 0.01, 0.97, 0.02 | 0.03, 0.95, 0.02 | 0.07, 0.92, 0.02 | 0.13, 0.86, 0.02 |                  | 
                2 | 0.00, 0.00, 1.00 | 0.00, 0.71, 0.29 | 0.00, 0.88, 0.12 | 0.00, 0.91, 0.09 | 0.00, 0.96, 0.04 | 0.00, 0.98, 0.02 | 0.00, 0.99, 0.01 | 0.00, 0.99, 0.01 | 0.00, 1.00, 0.00 | 0.00, 0.99, 0.00 | 0.01, 0.99, 0.00 |                  |                  | 
                3 | 0.25, 0.75, 0.00 | 0.03, 0.79, 0.17 | 0.02, 0.90, 0.09 | 0.01, 0.94, 0.04 | 0.01, 0.97, 0.03 | 0.01, 0.98, 0.01 | 0.01, 0.98, 0.01 | 0.01, 0.98, 0.01 | 0.01, 0.98, 0.01 | 0.01, 0.98, 0.00 | 0.25, 0.75, 0.00 |                  |                  | 
                4 | 0.22, 0.78, 0.00 | 0.06, 0.94, 0.00 | 0.03, 0.97, 0.00 | 0.03, 0.97, 0.00 | 0.03, 0.97, 0.00 | 0.04, 0.96, 0.00 | 0.05, 0.95, 0.00 | 0.06, 0.94, 0.00 | 0.08, 0.92, 0.00 | 0.11, 0.89, 0.00 | 0.17, 0.83, 0.00 |                  |                  | 
                5 | 0.27, 0.73, 0.00 | 0.11, 0.89, 0.00 | 0.08, 0.92, 0.00 | 0.06, 0.94, 0.00 | 0.07, 0.93, 0.00 | 0.07, 0.93, 0.00 | 0.08, 0.92, 0.00 | 0.10, 0.90, 0.00 | 0.28, 0.72, 0.00 | 0.28, 0.72, 0.00 | 0.33, 0.67, 0.00 |                  |                  | 
                6 | 0.33, 0.67, 0.00 | 0.09, 0.91, 0.00 | 0.06, 0.94, 0.00 | 0.05, 0.95, 0.00 | 0.04, 0.96, 0.00 | 0.04, 0.96, 0.00 | 0.03, 0.97, 0.00 | 0.25, 0.75, 0.00 | 0.25, 0.75, 0.00 | 0.21, 0.79, 0.00 | 0.17, 0.83, 0.00 |                  |                  | 
                7 | 0.21, 0.79, 0.00 | 0.16, 0.84, 0.00 | 0.16, 0.84, 0.00 | 0.16, 0.84, 0.00 | 0.16, 0.84, 0.00 | 0.16, 0.84, 0.00 | 0.00, 1.00, 0.00 | 0.00, 1.00, 0.00 | 0.00, 1.00, 0.00 | 0.00, 1.00, 0.00 | 0.00, 1.00, 0.00 |                  |                  | 
                8 | 0.25, 0.75, 0.00 | 0.30, 0.70, 0.00 | 0.31, 0.69, 0.00 | 0.31, 0.69, 0.00 | 0.32, 0.68, 0.00 | 0.35, 0.65, 0.00 | 0.35, 0.65, 0.00 | 0.35, 0.65, 0.00 | 0.37, 0.63, 0.00 | 0.38, 0.63, 0.00 | 0.50, 0.50, 0.00 |                  |                  | 
                9 | 0.33, 0.67, 0.00 | 0.16, 0.84, 0.00 | 0.13, 0.87, 0.00 | 0.13, 0.87, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
